source_id,target_id,latency_ns
2,0,18885
2,0,14759
2,0,9377
2,0,16851
2,0,15760
2,0,22903
2,0,15020
2,0,27893
2,0,16060
2,0,19217
2,0,16211
2,0,24436
2,0,16581
2,0,15028
2,0,17693
2,0,26570
2,0,16031
2,0,27152
2,0,20809
2,0,26770
2,0,10249
2,0,16331
2,0,10660
2,0,14637
2,0,162054
2,0,9879
2,0,28595
2,0,11272
2,0,12043
2,0,10079
2,0,12373
2,0,10249
2,0,9758
2,0,22622
2,0,10030
2,0,10740
2,0,9207
2,0,10289
2,0,9538
2,0,13906
2,0,10259
2,0,9908
2,0,9909
2,0,9467
2,0,147447
2,0,17132
2,0,25066
2,0,232247
2,0,10299
2,0,10260
2,0,9939
2,0,10059
2,0,12794
2,0,12613
2,0,10020
2,0,9158
2,0,220516
2,0,11792
2,0,10560
2,0,9708
2,0,10921
2,0,15330
2,0,16050
2,0,9899
2,0,14127
2,0,31039
2,0,12254
2,0,16332
2,0,36619
2,0,17082
2,0,266632
2,0,38754
2,0,13958
2,0,18685
2,0,13805
2,0,10369
2,0,7834
2,0,10970
2,0,8816
2,0,8657
2,0,7334
2,0,7364
2,0,10761
2,0,12964
2,0,8687
2,0,9788
2,0,9658
2,0,8256
2,0,9117
2,0,7835
2,0,9780
2,0,7684
2,0,7534
2,0,10500
2,0,7705
2,0,7424
2,0,8976
2,0,11091
2,0,7114
